"phenotype_number","phenotype_name","phenotype_name_short","AIC_1r","AIC_2r","deltaAIC","p","statusCode_2r","statusCode_1r"
127,"skull_SSEN_sella_nsp_distance","SSEN*",2156.00494445862,2157.62469852039,-1.61975406176452,0.537471643764691,"OK","OK"
128,"skull_SIOD_interorbitale_distance","SIOD",2715.59248322439,2713.3319395003,2.26054372409362,0.0390074342673484,"OK","OK"
129,"skull_SNOL_nasion_orbitaleLeft_distance","SNOL",3049.30666595529,3048.13063926147,1.17602669381904,0.074726234379598,"OK","OK"
130,"skull_SNOR_nasion_orbitaleRight_distance","SNOR",3055.80108883214,3053.76468950073,2.03639933140812,0.0445287325100986,"OK","OK"
131,"skull_SSEG_sella_condylionMean_distance","SSEG",2286.8319979596,2286.65982472611,0.172173233492686,0.140527518162089,"OK","OK"
132,"skullAngle_ABSN_sellaBasion_sellaNasion_angle","ABSN",2713.93922090699,2715.92472522966,-1.98550432267348,0.904167879191802,"OK","OK"
133,"skullAngle_ACSN_sellaConylionMean_sellaNasion_angle","ACSN",2490.37123913498,2492.20673467317,-1.83549553818557,0.685042778130371,"OK","OK"
134,"skullAngle_AASN_nasionNSA_nasionSella_angle","AASN",3099.06951346206,3101.02026172337,-1.95074826131076,0.824370456669858,"OK","OK"
135,"skullAngle_AANP_nasionNSA_nasionProsthion_angle","AANP",3413.42783851234,3415.41482071416,-1.98698220182132,0.909162037099303,"OK","OK"
136,"skullAngle_APSN_sellaNSP_sellaNasion_angle","APSN",2928.12522829853,2926.75606561198,1.36916268655023,0.0664275084816679,"OK","OK"
137,"skullAngle_APNS_nasionPogonion_nasionSella_angle","APNS",2677.47707954739,2678.91542280981,-1.43834326241222,0.453593487005598,"OK","OK"
138,"skullAngle_ASNP_nasionSella_nasionProsthion_angle","ASNP",2934.54665120262,2936.39122301244,-1.84457180981872,0.693401035817911,"OK","OK"
139,"skullAngle_APNP_nasionPogonion_nasionProsthion_angle","APNP",2906.89183862616,2908.84940496234,-1.95756633617293,0.836795340647103,"OK","OK"
140,"skullAngle_ASCG_condMeanSella_condMeanGonionMean_angle","ASCG",2527.35517743425,2527.43405104907,-0.0788736148151656,0.165732541501559,"OK","OK"
141,"skullAngle_ASCG_gonionMeanCondylionMean_GonionMeanMenton_angle","ASCG*",2391.13649188017,2392.28419683905,-1.14770495888297,0.355903891551687,"OK","OK"
142,"skullAngle_ANSF_sellaNasion_sellaFranfortPlanePerp_angle","ANSF",2787.18539054776,2788.75252221554,-1.56713166777718,0.51058484733176,"OK","OK"
143,"skullAngle_ANNF_nsaNsp_sellaFranfortPlanePerp_angle","ANNF",2926.40253798376,2928.16782133591,-1.76528335214653,0.628048346906855,"OK","OK"
144,"skullAngle_ALNS_nasionSellaLine_nsaNspLine_angle","ALNS",3192.28541730095,3192.67811562753,-0.392698326586469,0.204871518807861,"OK","OK"
145,"general_SVTh_atlas_hpa_distance","SVTh",2252.20478024756,2252.53857039853,-0.333790150963068,0.196766963941115,"OK","OK"
146,"general_SVTh_atlas_prosthion_distance","SVTh*",2006.46615748339,2007.92683185221,-1.46067436882117,0.462712341176953,"OK","OK"
147,"general_SVTv_nsp_epiglottisPetiole_distance","SVTv",2729.8283466307,2731.81622977653,-1.98788314583408,0.912348639195891,"OK","OK"
148,"general_SVTv_nsp_corniculateTubercle_distance","SVTv*",2513.02401166411,2514.66232078238,-1.63830911826199,0.547568659506268,"OK","OK"
149,"general_GRPD_registrationPointSet_matlabProcDistance","GRPD",3397.4164406719,3399.00077784266,-1.58433717076241,0.519109180490093,"OK","OK"
150,"general_GAPD_allPointSet_matlabProcDistance","GAPD",2702.29227543463,2703.87396594861,-1.58169051397499,0.517781785390278,"OK","OK"
